,introduction,url,price,unit_price,community,street,room_type,acreage,toward,decoration,floor_type,floor_total,year,type,follow,release_time
10,富力金港城 高层南向 采光通风视野好  业主诚心出售,https://gz.lianjia.com/ershoufang/108400800782.html,132,14228,富力金港城东区 ,花东镇,3室1厅,92.78,东南,精装,高楼,18,2013,塔楼,15,1个月以前发布
11,红本在手诚售 小面积住宅 华师附旁,https://gz.lianjia.com/ershoufang/108400670593.html,100,22367,广州融创文旅城A1区 ,花山镇,1室1厅,44.71,东,毛坯,高楼,31,2016,塔楼,33,3个月以前发布
12,高层，视野好，业主诚心卖，位置好,https://gz.lianjia.com/ershoufang/108400493768.html,106,12871,富力金港城东区 ,花东镇,2室2厅,82.36,北,精装,高楼,18,2012,塔楼,51,5个月以前发布
13,新花街三小之学近地铁生活配套完善 秀全公园 华润万家,https://gz.lianjia.com/ershoufang/108400833538.html,106,11649,商业大道 ,新区,3室2厅,91,南 北,精装,中楼,7,-,塔楼,17,22天以前发布
14,东馨美居 3室1厅 130万,https://gz.lianjia.com/ershoufang/108400841087.html,130,15345,东馨美居 ,旧区,3室1厅,84.72,南 北,精装,低楼,16,-,塔楼,9,18天以前发布
15,新鸿基凯旋门，全新5室2厅2卫，南向望花园，包车位.,https://gz.lianjia.com/ershoufang/108400682114.html,473,24110,凯旋门 ,新区,5室2厅,196.19,南,精装,低楼,24,2007,塔楼,16,3个月以前发布
16,近花都湖 小复式两房 无遮挡 采光充足,https://gz.lianjia.com/ershoufang/108400849716.html,116,27620,祈福生活无限 ,新区,2室1厅,42,西南,精装,低楼,12,2010,塔楼,10,15天以前发布
17,金华花园 3房南北对流 税费少,https://gz.lianjia.com/ershoufang/108400852695.html,90,9533,金华花园 ,旧区,3室1厅,94.41,南,简装,高楼,9,2001,塔楼,16,14天以前发布
18,花都区府板块 骏豪雅苑 住家三房 享受大润发生活配套,https://gz.lianjia.com/ershoufang/108400857383.html,153,16602,骏豪雅苑 ,新区,3室2厅,92.16,南 北,简装,高楼,7,-,塔楼,6,12天以前发布
19,万景峰小区，环境优美，安静舒适，适合一家大小入住,https://gz.lianjia.com/ershoufang/108400426723.html,176,19152,祈福万景峰 ,铁路西,3室2厅,91.9,东南,毛坯,低楼,28,-,塔楼,36,7个月以前发布
20,御华园三房  南向 证过两年 没有按揭 过户快,https://gz.lianjia.com/ershoufang/108400869666.html,157,16060,新鸿基御华园 ,狮岭镇,3室2厅,97.76,南,其他,低楼,28,2013,板塔结合,1,7天以前发布
21,好美华庭大三房，够两年税费低，自住可选。,https://gz.lianjia.com/ershoufang/108400295299.html,120,10861,好美嘉园好美华庭 ,炭步,3室2厅,110.49,南,精装,中楼,17,-,塔楼,4,9个月以前发布
22,美力倚晴居 南向精装3房2厅2卫 证满五唯一 棠澍旁,https://gz.lianjia.com/ershoufang/108400815741.html,150,12327,美力倚晴居 ,旧区,3室2厅,121.69,南,精装,高楼,8,-,塔楼,20,30天以前发布
23,实用三房 中楼层 业主换房保养新净,https://gz.lianjia.com/ershoufang/108400815843.html,180,18770,雅居乐锦城花冠集 ,旧区,3室2厅,95.9,东南,精装,低楼,32,2008,塔楼,2,30天以前发布
24,永福大厦。3-2-1-2 130.00m²,https://gz.lianjia.com/ershoufang/108400821666.html,132,10154,永福大厦 ,旧区,3室2厅,130,东南,简装,低楼,17,-,塔楼,0,27天以前发布
25,证够2年 精装修 业主诚心出售,https://gz.lianjia.com/ershoufang/108400829220.html,213,23090,云峰花园4期 ,镜湖大道,3室2厅,92.25,北,精装,中楼,14,2013,塔楼,7,24天以前发布
26,狮峰花园精装三房，采光好，产权清晰，低价出售,https://gz.lianjia.com/ershoufang/108400834531.html,85,8864,狮峰花园 ,狮岭镇,3室2厅,95.9,北,简装,中楼,7,-,-,12,21天以前发布
27,花都融创文化旅游城北向带大阳台,https://gz.lianjia.com/ershoufang/108400838942.html,58,10882,广州融创文旅城商务公寓 ,花山镇,1室0厅,53.3,北,精装,中楼,40,-,塔楼,19,19天以前发布
28,马鞍山+花都湖双公园地铁物业，大润发商圈,https://gz.lianjia.com/ershoufang/108400800455.html,573,31350,锦尚蓬莱苑 ,新区,4室2厅,182.78,南 北,精装,低楼,29,2011,塔楼,0,1个月以前发布
29,富力金港城 两房两厅 精装修 高楼层,https://gz.lianjia.com/ershoufang/108400435072.html,108,13114,富力金港城东区 ,花东镇,2室2厅,82.36,北,精装,高楼,11,2014,塔楼,5,6个月以前发布
30,格局方正，楼间距宽，无遮挡，采光度好。,https://gz.lianjia.com/ershoufang/108400501973.html,160,14221,华侨花园 ,旧区,3室2厅,112.51,东北,精装,中楼,9,-,塔楼,8,5个月以前发布
31,合和新城，中层东向，房主有心急售。,https://gz.lianjia.com/ershoufang/108400570339.html,195,21002,合和新城 ,镜湖大道,3室2厅,92.85,东,精装,中楼,15,2011,平房,45,4个月以前发布
32,馨泉花园，南向4房单位，电梯高层，望花园。,https://gz.lianjia.com/ershoufang/108400145541.html,172,12313,馨泉花园 ,新区,4室2厅,139.7,南,精装,高楼,11,-,塔楼,71,一年前发布
33,锦尚名苑马鞍山地铁口530米 花园式小区,https://gz.lianjia.com/ershoufang/108400432481.html,223,18312,锦尚名苑 ,新区,3室2厅,121.78,南,精装,中楼,6,2005,板楼,24,6个月以前发布
34,“地铁口“一梯二户，南北对流，安静，有大平台,https://gz.lianjia.com/ershoufang/108400467979.html,230,18276,锦尚名苑 ,新区,3室2厅,125.85,南,简装,高楼,6,2005,板楼,15,6个月以前发布
35,实用三房两厅两卫  楼层适中 业主诚意出售 看房方便,https://gz.lianjia.com/ershoufang/108400500942.html,152,13572,雅宝新城 ,狮岭镇,3室2厅,112,北,简装,中楼,7,2012,塔楼,2,5个月以前发布
36,广州北满五唯一南向望花园近地铁,https://gz.lianjia.com/ershoufang/108400518992.html,102,15590,祈福辉煌台 ,铁路西,1室2厅,65.43,南,精装,中楼,28,2008,塔楼,32,5个月以前发布
37,祈福辉煌台！标准两房两厅！精装修！,https://gz.lianjia.com/ershoufang/108400573510.html,137,15789,祈福辉煌台 ,铁路西,2室2厅,86.77,北,精装,中楼,28,2007,塔楼,41,4个月以前发布
38,荣翠轩 空港商务圈 三房带主套 业主换房诚售,https://gz.lianjia.com/ershoufang/108400593414.html,118,11987,荣翠轩 ,新区,3室2厅,98.44,北,毛坯,中楼,14,2012,塔楼,64,4个月以前发布
39,融创住宅少有在售户型，中层视野好，南北对流,https://gz.lianjia.com/ershoufang/108400666956.html,245,23654,广州融创文旅城B1区 ,花山镇,3室2厅,103.58,南 北,毛坯,低楼,33,2018,塔楼,50,3个月以前发布
40,南北对流，户型采光通透，通风好，视野佳,https://gz.lianjia.com/ershoufang/108400668358.html,115,11902,智烨山水豪庭 ,狮岭镇,3室2厅,96.63,南,毛坯,中楼,18,2012,塔楼,8,3个月以前发布
41,学府南苑，东南向，中楼层大两房。,https://gz.lianjia.com/ershoufang/108400685026.html,105,12963,学府南苑 ,狮岭镇,2室2厅,81,东南,毛坯,高楼,15,2011,塔楼,6,2个月以前发布
42,朗悦君廷 中层三房 满五唯一 业主诚意出售,https://gz.lianjia.com/ershoufang/108400722756.html,150,16190,朗悦君廷 ,镜湖大道,3室2厅,92.65,东北,简装,中楼,17,2007,塔楼,9,2个月以前发布
43,富力金港城北区南向三房 望花园 采光好视野好,https://gz.lianjia.com/ershoufang/108400736457.html,155,15093,富力金港城北区 ,花东镇,3室2厅,102.7,南 北,精装,高楼,18,2012,塔楼,5,2个月以前发布
44,南向3房2卫拥有大花园  证满2 随时看房,https://gz.lianjia.com/ershoufang/108400743671.html,140,14074,云峰学府花园 ,狮岭镇,3室2厅,99.48,南,精装,低楼,15,2011,塔楼,6,2个月以前发布
45,花果山公园地铁口  花都湖旁  精装,https://gz.lianjia.com/ershoufang/108400767468.html,65,11587,金联市场 ,旧区,2室1厅,56.1,南,简装,中楼,8,1998,塔楼,45,1个月以前发布
46,地铁出口，小区有幼儿园配套，自住精装三房,https://gz.lianjia.com/ershoufang/108400769282.html,215,23067,云峰花园4期 ,镜湖大道,3室2厅,93.21,北,精装,高楼,11,2012,塔楼,10,1个月以前发布
47,红本在手 业主诚意出售  实用三房,https://gz.lianjia.com/ershoufang/108400785099.html,243,24796,广州融创文旅城A3区 ,花山镇,3室2厅,98,南,其他,高楼,33,2016,塔楼,13,1个月以前发布
48,双地铁物业 南向双卫三房 满五唯一  税低,https://gz.lianjia.com/ershoufang/108400790522.html,177,16994,花都银燕大厦 ,旧区,3室2厅,104.16,南,精装,低楼,16,2003,塔楼,9,1个月以前发布
49,嘉信华庭 满五年唯一，超大三房,https://gz.lianjia.com/ershoufang/108400796691.html,147,13391,嘉信华庭 ,旧区,3室2厅,109.78,南,精装,中楼,9,2004,塔楼,13,1个月以前发布
50,步梯中层，户型方正实用，通风采光,https://gz.lianjia.com/ershoufang/108400802647.html,110,10451,凤华路 ,旧区,4室2厅,105.26,南,精装,中楼,8,-,塔楼,4,1个月以前发布
51,雅居乐小户型、近地铁带装修、业主诚心出售，不是顶楼,https://gz.lianjia.com/ershoufang/108400804295.html,210,22106,雅居乐雍华廷二期 ,新区,2室2厅,95,东南 南,精装,高楼,11,2002,塔楼,5,1个月以前发布
52,轩逸荟 刚需三房南北对流户型通透 业主急售价钱便宜,https://gz.lianjia.com/ershoufang/108400808080.html,112,11667,智烨山水豪庭 ,狮岭镇,3室2厅,96,南 北,毛坯,低楼,18,2012,塔楼,8,1个月以前发布
53,花都湖秀全公园双公园旁，证够五年，业主急售。,https://gz.lianjia.com/ershoufang/108400810781.html,119,10549,花城路顺景楼 ,旧区,3室1厅,112.81,南 北,精装,低楼,7,-,塔楼,19,1个月以前发布
54,区府板块 近花都广场地铁 南向采光好 配套齐全,https://gz.lianjia.com/ershoufang/108400810969.html,148,14301,东骏花园 ,旧区,3室2厅,103.49,南,毛坯,高楼,8,-,塔楼,20,1个月以前发布
55,新华路地铁口物业 马赛克 够五唯一,https://gz.lianjia.com/ershoufang/108400813217.html,75,9555,新华路 ,新区,3室1厅,78.5,东,简装,中楼,15,-,平房,7,31天以前发布
56,云山大道 近花果山 出入方便 大三房 南向 中层,https://gz.lianjia.com/ershoufang/108400858253.html,118,11898,云山大道 ,旧区,3室2厅,99.18,南,简装,中楼,9,1998,塔楼,15,12天以前发布
57,全新没住过和一手没区别，格局方正，采光通风好。,https://gz.lianjia.com/ershoufang/108400618864.html,64,7658,美林湖天汇半岛 ,山前大道,2室2厅,83.58,西北,精装,低楼,13,-,塔楼,175,3个月以前发布
58,花果山地铁口 够2年  住家精装修,https://gz.lianjia.com/ershoufang/108400296572.html,120,14488,花城苑 ,旧区,3室1厅,82.83,南 北,精装,中楼,8,2004,塔楼,112,9个月以前发布
59,北向高层，精装两房，楼层好，视野宽阔，采光充足,https://gz.lianjia.com/ershoufang/108400441249.html,103,13038,富力金港城东区 ,花东镇,2室2厅,79,北,精装,高楼,11,2013,塔楼,6,6个月以前发布
60,地铁口物业，低楼层，户型方正格局好，南北对流。,https://gz.lianjia.com/ershoufang/108400841380.html,85,12052,富康花园 ,铁路西,2室2厅,70.53,南,精装,中楼,8,-,-,39,18天以前发布
61,700米地铁物业  够五年唯一,https://gz.lianjia.com/ershoufang/108400577207.html,148,16053,金河湾花园一期 ,旧区,2室2厅,92.2,南,精装,中楼,8,2003,塔楼,21,4个月以前发布
62,金碧御水山庄 环境优美万达城旁边 4A级度假区,https://gz.lianjia.com/ershoufang/108400563761.html,50,7497,金碧御水山庄 ,狮岭镇,2室2厅,66.7,西,精装,高楼,6,2009,塔楼,128,4个月以前发布
63,新区 大润发旁岭南公馆 温馨两房 入则宁静 出则繁荣,https://gz.lianjia.com/ershoufang/108400579953.html,186,21195,岭南公馆 ,新区,2室1厅,87.76,南,毛坯,高楼,18,-,塔楼,12,4个月以前发布
64,新区凯旋国际 邻近马鞍山地铁口 交通方便 配套成熟,https://gz.lianjia.com/ershoufang/108400582367.html,186,19235,凯旋国际 ,新区,2室2厅,96.7,北,精装,高楼,11,2007,塔楼,18,4个月以前发布
65,满二证在手  南向高楼层 采光通风好,https://gz.lianjia.com/ershoufang/108400716757.html,150,19966,祈福万景峰祈福天龙苑 ,铁路西,2室2厅,75.13,南,毛坯,高楼,27,2014,塔楼,28,2个月以前发布
66,广场板块精装三房 南北对流 可直接入住,https://gz.lianjia.com/ershoufang/108400727462.html,240,19629,保利花城花园 ,旧区,3室2厅,122.27,南 北,精装,高楼,18,2014,塔楼,18,2个月以前发布
67,精装温馨两房，教育小区绿化交通便利,https://gz.lianjia.com/ershoufang/108400728331.html,115,17693,路劲隽悦豪庭二期三期 ,旧区,2室2厅,65,东,精装,高楼,32,2015,塔楼,35,2个月以前发布
68,133万买满五唯一 东南望花园电梯大两房，看中就签。,https://gz.lianjia.com/ershoufang/108400731748.html,133,15688,翠华花园绿茵苑 ,旧区,2室1厅,84.78,南,简装,低楼,11,2011,塔楼,18,2个月以前发布
69,融创文旅城 格局方正 中间楼层 看花园,https://gz.lianjia.com/ershoufang/108400744680.html,219,22122,广州融创文旅城A1区 ,花山镇,3室2厅,99,东南,毛坯,低楼,33,2016,塔楼,19,2个月以前发布
70,美雅苑 三房没暗房 花园小区 独户平台60方,https://gz.lianjia.com/ershoufang/108400771292.html,128,18733,美雅苑 ,旧区,3室1厅,68.33,东 北,简装,低楼,9,-,塔楼,12,1个月以前发布
71,地铁口 够五年唯一物业 小区中间位置不靠路,https://gz.lianjia.com/ershoufang/108400783234.html,90,11551,侨苑小区(花都区) ,旧区,2室2厅,77.92,南,简装,中楼,8,-,塔楼,33,1个月以前发布
72,满2大两房 南北通透 拎包入住上车盘,https://gz.lianjia.com/ershoufang/108400787741.html,105,13007,嘉信华庭 ,旧区,2室1厅,80.73,南 北,简装,高楼,9,2002,塔楼,46,1个月以前发布
73,万科兰乔圣菲 旺中带静 中高层 满两年 格局方正,https://gz.lianjia.com/ershoufang/108400789591.html,83,12707,万科兰乔圣菲 ,狮岭镇,1室1厅,65.32,南,精装,中楼,9,-,塔楼,0,1个月以前发布
74,城央御景 格局方正三房出售 采光好,https://gz.lianjia.com/ershoufang/108200029004.html,178,16818,城央御景 ,旧区,3室2厅,105.84,南,简装,高楼,17,2012,塔楼,43,一年前发布
75,锦东C区  高楼层 户型实用 带入户花园,https://gz.lianjia.com/ershoufang/108400460347.html,250,26644,骏威锦东花园 ,新区,3室2厅,93.83,北,精装,高楼,17,2011,塔楼,28,6个月以前发布
76,大型高尚社区花园，东南向望花园，配套成熟，急售！,https://gz.lianjia.com/ershoufang/108400466580.html,165,16100,保利城花园海德公园 ,铁路西,3室2厅,102.49,东南,精装,中楼,25,2013,塔楼,87,6个月以前发布
77,金狮华庭小区，3房2厅2卫，格局方正,https://gz.lianjia.com/ershoufang/108400475034.html,118,9517,金狮华庭 ,狮岭镇,3室2厅,124,南,精装,高楼,11,2007,塔楼,16,6个月以前发布
78,单位楼 大三房 南北对流 双阳台 证满五年唯一,https://gz.lianjia.com/ershoufang/108400497926.html,105,10905,松园大道 ,旧区,3室2厅,96.29,南 北,毛坯,中楼,8,1993,塔楼,8,5个月以前发布
79,御华园 双阳台 带入户花园 格局方正 使用率高,https://gz.lianjia.com/ershoufang/108400529204.html,150,15302,新鸿基御华园 ,狮岭镇,3室2厅,98.03,西北,毛坯,高楼,31,2013,板塔结合,1,5个月以前发布
80,湖畔花园 温馨3房 享受秀全公园和花都湖双公园,https://gz.lianjia.com/ershoufang/108400563056.html,115,13755,湖畔花园 ,旧区,3室2厅,83.61,东北,精装,高楼,26,1995,塔楼,30,4个月以前发布
81,漂亮的大三房 业主诚心出售 环境优美 采光充足,https://gz.lianjia.com/ershoufang/108400569222.html,182,13945,富力金港城东区 ,花东镇,3室2厅,130.52,南,精装,中楼,18,2012,塔楼,17,4个月以前发布
82,银燕大厦三房    南向望花园,https://gz.lianjia.com/ershoufang/108400579431.html,190,18370,花都银燕大厦 ,旧区,3室2厅,103.43,南,精装,中楼,26,2003,塔楼,3,4个月以前发布
83,万科天景花园 3室1厅 160万,https://gz.lianjia.com/ershoufang/108400598252.html,160,17525,万科天景花园 ,铁路西,3室1厅,91.3,南,精装,高楼,25,2006,塔楼,23,4个月以前发布
84,云山大道小区 中层3房 住家装修 小区管理 有停车场,https://gz.lianjia.com/ershoufang/108400605393.html,85,9470,云山大道 ,旧区,3室2厅,89.76,南 北,简装,中楼,6,-,板楼,29,4个月以前发布
85,地铁口物业 精装修 3房带主套 可直接拎包入住,https://gz.lianjia.com/ershoufang/108400609883.html,152,14206,翠华花园 ,旧区,3室2厅,107,北,精装,中楼,7,2006,塔楼,33,4个月以前发布
86,秀全公园旁·准电梯三房南向 一梯倆户·阳光充足ci,https://gz.lianjia.com/ershoufang/108400624374.html,102,12364,新华路 ,新区,3室2厅,82.5,南 北,精装,高楼,9,-,-,118,3个月以前发布
87,美域华庭 两房两厅 正南向 通风好 采光充足,https://gz.lianjia.com/ershoufang/108400639955.html,139,15746,美域华庭 ,旧区,2室2厅,88.28,南,精装,中楼,9,2010,塔楼,51,3个月以前发布
88,学府居，3房低层，锦砖外墙，南北对流,https://gz.lianjia.com/ershoufang/108400658717.html,122.5,13303,松园小区 ,旧区,3室2厅,92.09,南,简装,低楼,7,-,塔楼,4,3个月以前发布
89,花城路 3房 南向 地铁口物业,https://gz.lianjia.com/ershoufang/108400666449.html,88,9117,花城路 ,旧区,3室2厅,96.53,西,简装,中楼,7,-,板楼,29,3个月以前发布
90,花城路地铁物业，准电梯房，满五唯一，名校旁,https://gz.lianjia.com/ershoufang/108400683317.html,103,12376,商业大道 ,新区,3室2厅,83.23,南 北,精装,中楼,8,1996,塔楼,107,3个月以前发布
91,房子格局方正，配套完善，交通方便。,https://gz.lianjia.com/ershoufang/108400683562.html,110,12688,新中路 ,旧区,3室2厅,86.7,南,精装,中楼,9,-,塔楼,21,2个月以前发布
92,近北站新城 地铁口  户型方正 低首期 条砖外墙,https://gz.lianjia.com/ershoufang/108400684553.html,100,10907,金都花园 ,旧区,2室2厅,91.69,南 北,精装,中楼,9,1995,塔楼,24,2个月以前发布
93,步梯三房 中低楼层 采光好 满五唯一,https://gz.lianjia.com/ershoufang/108400703695.html,145,13604,翠华花园 ,旧区,3室2厅,106.59,北,精装,中楼,7,2006,塔楼,41,2个月以前发布
94,够五年不唯一，税费低，带精装修，三房适合一家大小。,https://gz.lianjia.com/ershoufang/108400714751.html,105,10000,好美嘉园 ,炭步,3室2厅,105,南,精装,高楼,17,2011,塔楼,14,2个月以前发布
95,轩逸荟精装2房  装修保养好 通风采光好 现已改成3房,https://gz.lianjia.com/ershoufang/108400719931.html,89,12492,智烨山水豪庭 ,狮岭镇,2室2厅,71.25,东北,精装,低楼,18,2012,塔楼,12,2个月以前发布
96,馨庭花园 3室2厅 235万,https://gz.lianjia.com/ershoufang/108400728126.html,235,18218,馨庭花园 ,新区,3室2厅,129,西,简装,高楼,11,2006,塔楼,12,2个月以前发布
97,楼层正好，视野开阔，地铁在家门口，离大润发100米,https://gz.lianjia.com/ershoufang/108400740469.html,299.9,22445,大运家园 ,新区,3室2厅,133.62,南,精装,中楼,11,2009,板楼,6,2个月以前发布
98,花都湖旁，电梯靓层，证够五年唯一业主急售。,https://gz.lianjia.com/ershoufang/108400753417.html,110,13157,湖畔花园 ,旧区,3室1厅,83.61,西北,简装,高楼,26,1995,塔楼,18,1个月以前发布
99,怡康花园 地铁口物业 满五唯一 冰点税费,https://gz.lianjia.com/ershoufang/108400762381.html,160,14744,怡康花园(花都) ,旧区,3室2厅,108.52,南,精装,中楼,8,-,塔楼,17,1个月以前发布
100,精装实用三房，价钱实惠，业主诚心出售,https://gz.lianjia.com/ershoufang/108400769354.html,104,11035,恒昌福邸 ,花山镇,3室2厅,94.25,北,精装,中楼,11,2012,塔楼,20,1个月以前发布
101,此房满五唯一   税费少 精装靓两房 户型方正实用,https://gz.lianjia.com/ershoufang/108400772111.html,145,20547,美林轩逸时光 ,镜湖大道,2室2厅,70.57,西南,精装,低楼,15,-,塔楼,8,1个月以前发布
102,锦尚名苑  精装修3房出售  红本在手  冰点税费,https://gz.lianjia.com/ershoufang/108400780505.html,225,18476,锦尚名苑 ,新区,3室2厅,121.78,南,精装,高楼,6,2005,板楼,8,1个月以前发布
103,区政府板块：永大新城、地铁口物业,https://gz.lianjia.com/ershoufang/108400782247.html,118,14597,永大新城 ,旧区,3室1厅,80.84,南,精装,高楼,7,-,-,19,1个月以前发布
104,翠华绿茵苑  小区环境好  交通便利  配套成熟,https://gz.lianjia.com/ershoufang/108400785177.html,162,18301,翠华花园绿茵苑 ,旧区,3室2厅,88.52,北,精装,中楼,11,2011,塔楼,10,1个月以前发布
105,房子满五唯一，业主诚心出售，步梯三楼,https://gz.lianjia.com/ershoufang/108400785632.html,162,13081,文苑小区 ,旧区,3室2厅,123.85,南,精装,中楼,7,-,板楼,7,1个月以前发布
106,狮城国际 毛坯3房，高层采光好，位置安静,https://gz.lianjia.com/ershoufang/108400786270.html,128,14943,致岭假日花园 ,狮岭镇,3室2厅,85.66,南,精装,高楼,11,-,板塔结合,2,1个月以前发布
107,区府板块  银菊花小区 南向63方两房 成熟地段,https://gz.lianjia.com/ershoufang/108400790553.html,114,18041,银菊花小区 ,旧区,2室1厅,63.19,南,简装,中楼,7,1996,塔楼,12,1个月以前发布
108,豪利花园，三房两卫，方正户型，中高层位置,https://gz.lianjia.com/ershoufang/108400792339.html,185,19517,豪利花园 ,镜湖大道,3室2厅,94.79,北,精装,高楼,15,2012,塔楼,28,1个月以前发布
109,翠华花园 户型反正 北向望花园,https://gz.lianjia.com/ershoufang/108400804486.html,148,13545,翠华花园 ,旧区,3室2厅,109.27,北,简装,中楼,7,-,塔楼,10,1个月以前发布
110,首付10万即可拥有温馨小2房，价格优惠，随时看房,https://gz.lianjia.com/ershoufang/108400621372.html,48,7594,美林湖天琴半岛 ,山前大道,2室1厅,63.21,东北,精装,中楼,17,-,塔楼,141,3个月以前发布
111,店长极力推荐，首付15万即可拥有一个温馨的家,https://gz.lianjia.com/ershoufang/108400626210.html,65,7927,美林湖天汇半岛 ,山前大道,2室2厅,82,西北,精装,低楼,16,2014,塔楼,29,3个月以前发布
112,富力金港城南区 2室1厅 60万,https://gz.lianjia.com/ershoufang/108400787597.html,60,7693,富力金港城南区 ,花东镇,2室1厅,78,南,其他,中楼,19,-,塔楼,4,1个月以前发布
113,高层电梯无遮挡望* 采光通风好 全新未住过,https://gz.lianjia.com/ershoufang/108400655912.html,107,7592,美林湖天汇半岛 ,山前大道,3室2厅,140.94,北,精装,高楼,18,2015,塔楼,60,3个月以前发布
114,高层采光好  广州北不需要指标  带精装修 随时看房,https://gz.lianjia.com/ershoufang/108400593406.html,63,7683,美林湖天汇半岛 ,山前大道,2室2厅,82,西北,精装,高楼,18,2014,塔楼,30,4个月以前发布
115,碧桂园空港国际 1室1厅 42万,https://gz.lianjia.com/ershoufang/108400791147.html,42,7282,碧桂园空港国际 ,花东镇,1室1厅,57.68,南,精装,高楼,9,2014,板楼,26,1个月以前发布
116,自由人花园 南向  小三房  少有户型,https://gz.lianjia.com/ershoufang/108400837892.html,180,20009,自由人花园 ,镜湖大道,3室2厅,89.96,南,精装,高楼,33,-,塔楼,10,20天以前发布
117,如家公寓 电梯房 住宅性质 民用水电 地铁口旁,https://gz.lianjia.com/ershoufang/108400769591.html,30,11751,双赢如家公寓 ,旧区,1室1厅,25.53,北,简装,中楼,9,2013,塔楼,37,1个月以前发布
118,利丰大厦，全新装修未住过，南向不靠路，电梯,https://gz.lianjia.com/ershoufang/108400586304.html,97,13719,花都利丰大厦 ,旧区,2室2厅,70.71,南 西南,精装,高楼,9,-,塔楼,21,4个月以前发布
119,御华园精装两房 采光好 秀全一线湖景,https://gz.lianjia.com/ershoufang/108400610790.html,120,14553,新鸿基御华园 ,狮岭镇,2室2厅,82.46,北,精装,低楼,28,2013,板塔结合,10,4个月以前发布
120,东骏花园·步梯低层 区政府板块 近地铁 生活配套成熟,https://gz.lianjia.com/ershoufang/108400611917.html,138,17048,东骏花园 ,旧区,2室2厅,80.95,北,简装,低楼,8,-,塔楼,19,4个月以前发布
121,此房满五唯一， 大面积 总价低。,https://gz.lianjia.com/ershoufang/108400628356.html,65,8758,富丽花园 ,旧区,2室2厅,74.22,南 北,精装,高楼,9,2001,塔楼,57,3个月以前发布
122,华翠楼小区 精装两房 电梯高层 格局方正,https://gz.lianjia.com/ershoufang/108400629908.html,95,12391,华翠楼小区 ,旧区,2室2厅,76.67,东南,精装,高楼,9,1998,塔楼,25,3个月以前发布
123,满五唯一  花城路地铁口物业，旁边配套齐全,https://gz.lianjia.com/ershoufang/108400680998.html,68,9755,秀全大道 ,旧区,2室2厅,69.71,南,简装,高楼,6,-,-,30,3个月以前发布
124,花都湖湿地公园旁，小户型实用方正，证够两年拎包入住,https://gz.lianjia.com/ershoufang/108400710613.html,120,21064,祈福生活无限 ,新区,1室1厅,56.97,北,精装,低楼,23,2010,塔楼,18,2个月以前发布
125,合和新城 三期两房望花园  总价低 楼层好,https://gz.lianjia.com/ershoufang/108400783715.html,140,24101,合和新城 ,镜湖大道,2室1厅,58.09,北,精装,中楼,15,2011,平房,18,1个月以前发布
126,此房满五唯一，花果山地铁，省一级五小，东南向,https://gz.lianjia.com/ershoufang/108400802557.html,88,10886,永大新城 ,旧区,3室2厅,80.84,东 南,精装,高楼,8,1998,板楼,82,1个月以前发布
